Round,Winner,Venue,Total Pts,Tries,1H Points,2H Points,1H Diff,2H Diff,Win Margin,1st CT,Lead HT,Round,Loser,Venue,Total Pts,Tries,1H Points,2H Points,1H Diff,2H Diff,Lose Margin,1st CT,Lead HT
11,Jaguares,H,46,7,22,24,-3,10,7,No,No,11,Sunwolves,A,39,5,25,14,3,-10,-7,Yes,Yes
12,Blues,H,50,8,24,26,6,12,18,Yes,Yes,12,Cheetahs,A,32,4,18,14,-6,-12,-18,No,No
12,Lions,A,13,1,0,13,-3,10,7,No,No,12,Brumbies,H,6,0,3,3,3,-10,-7,No,Yes
12,Crusaders,H,20,1,9,11,0,8,8,No,Draw,12,Hurricanes,A,12,0,9,3,0,-8,-8,No,Draw
12,Reds,A,29,5,17,12,8,-3,5,Yes,Yes,12,Rebels,H,24,2,9,15,-8,3,-5,No,No
12,Highlanders,A,17,2,10,7,7,0,7,Yes,Yes,12,Bulls,H,10,1,3,7,-7,0,-7,No,No
12,Kings,H,35,4,18,17,2,1,3,No,Yes,12,Sharks,A,32,2,16,16,-2,-1,-3,Yes,No
12,Force,A,16,2,3,13,3,7,10,No,Yes,12,Jaguares,H,6,0,0,6,-3,-7,-10,No,No
13,Crusaders,A,31,3,13,18,-4,11,7,Yes,No,13,Chiefs,H,24,4,17,7,4,-11,-7,No,Yes
13,Stormers,H,30,3,10,20,-2,10,8,No,No,13,Blues,A,22,3,12,10,2,-10,-8,Yes,Yes
13,Hurricanes,H,61,9,21,40,14,40,54,Yes,Yes,13,Cheetahs,A,7,1,7,0,-14,-40,-54,No,No
13,Highlanders,A,55,8,17,28,11,28,49,Yes,Yes,13,Force,H,6,0,6,0,-11,-28,-49,No,No
13,Sharks,A,38,6,21,17,14,7,21,Yes,Yes,13,Sunwolves,H,17,2,7,10,-14,-7,-21,No,No
13,Lions,H,51,7,39,12,25,12,37,Yes,Yes,13,Bulls,A,14,2,14,0,-25,-12,-37,No,No
13,Brumbies,A,19,3,5,14,-5,14,9,No,No,13,Kings,H,10,1,10,0,5,-14,-9,Yes,Yes
13,Waratahs,H,50,8,24,26,13,14,27,Yes,Yes,13,Rebels,A,23,3,11,12,-13,-14,-27,No,No
14,Force,A,40,4,13,27,8,6,14,Yes,Yes,14,Reds,H,26,4,5,21,-8,-6,-14,No,No
14,Cheetahs,A,47,7,14,33,14,26,40,Yes,Yes,14,Sunwolves,H,7,1,0,7,-14,-26,-40,No,No
14,Highlanders,H,44,6,13,31,-1,17,16,Yes,No,14,Waratahs,A,28,4,14,14,1,-17,-16,No,Yes
14,Crusaders,A,41,6,31,10,24,-2,22,Yes,Yes,14,Rebels,H,19,3,7,12,-24,2,-22,No,No
14,Hurricanes,A,34,5,24,10,11,3,14,Yes,Yes,14,Bulls,H,20,2,13,7,-11,-3,-14,No,No
14,Sharks,H,22,3,15,7,15,-3,12,Yes,Yes,14,Stormers,A,10,1,0,10,-15,3,-12,No,No
14,Brumbies,A,39,6,20,19,10,14,24,Yes,Yes,14,Jaguares,H,15,2,10,5,-10,-14,-24,No,No
14,Lions,H,54,8,19,35,16,28,44,Yes,Yes,14,Kings,A,10,1,3,7,-16,-28,-44,No,No
15,Blues,H,34,5,20,14,8,-3,5,Yes,Yes,15,Reds,A,29,4,12,17,-8,3,-5,No,No
15,Crusaders,H,25,3,19,6,9,-6,3,Yes,Yes,15,Highlanders,A,22,3,10,12,-9,6,-3,No,No
15,Chiefs,H,46,6,18,28,15,0,15,Yes,Yes,15,Waratahs,A,31,4,3,28,-15,0,-15,No,No
15,Brumbies,H,32,4,11,21,8,21,29,No,Yes,15,Rebels,A,3,0,3,0,-8,-21,-29,No,No
15,Hurricanes,A,34,6,12,22,12,10,22,Yes,Yes,15,Force,H,12,2,0,12,-12,-10,-22,No,No
15,Chiefs,A,17,2,7,10,0,3,3,No,Draw,15,Hurricanes,H,14,2,7,7,0,-3,-3,Yes,Draw
15,Bulls,A,30,4,17,13,7,6,13,No,Yes,15,Sharks,H,17,2,10,7,-7,-6,-13,Yes,No
15,Kings,A,31,4,14,17,-6,7,1,Yes,No,15,Jaguares,H,30,5,20,10,6,-7,-1,No,Yes
15,Lions,H,94,14,35,59,35,52,87,Yes,Yes,15,Sunwolves,A,7,1,0,7,-35,-52,-87,No,No
15,Stormers,A,40,6,26,14,9,-3,6,Yes,Yes,15,Cheetahs,H,34,4,17,17,-9,3,-6,No,No
16,Reds,H,16,1,6,10,3,-2,1,No,Yes,16,Brumbies,A,15,1,3,12,-3,2,-1,No,No
16,Force,H,31,4,14,17,-1,10,9,Yes,No,16,Rebels,A,22,3,15,7,1,-10,-9,No,Yes
16,Jaguares,A,40,5,25,15,15,-2,13,Yes,Yes,16,Waratahs,H,27,3,10,17,-15,2,-13,No,No
16,Kings,A,31,3,22,9,12,-11,1,Yes,Yes,16,Bulls,H,30,3,10,20,-12,11,-1,No,No
16,Stormers,H,52,8,19,33,9,28,37,Yes,Yes,16,Sunwolves,A,15,2,10,5,-9,-28,-37,No,No
17,Highlanders,H,40,6,21,19,16,7,23,Yes,Yes,17,Reds,A,17,3,5,12,-16,-7,-23,No,No
17,Jaguares,A,32,4,10,22,-9,12,3,No,No,17,Rebels,H,29,2,19,10,9,-12,-3,Yes,Yes
17,Cheetahs,A,21,2,3,18,-9,10,1,No,No,17,Kings,H,20,3,12,8,9,-10,-1,Yes,Yes
17,Sunwolves,H,48,8,14,34,-7,34,27,No,No,17,Blues,A,21,3,21,0,7,-34,-27,Yes,Yes
17,Chiefs,H,28,3,13,15,3,15,18,Yes,Yes,17,Brumbies,A,10,1,10,0,-3,-15,-18,No,No
17,Hurricanes,H,31,4,7,24,-5,14,9,No,No,17,Crusaders,A,22,3,12,10,5,-14,-9,Yes,Yes
17,Force,H,40,5,26,14,20,9,29,Yes,Yes,17,Waratahs,A,11,1,6,5,-20,-9,-29,No,No
17,Stormers,A,41,6,22,19,1,7,8,No,Yes,17,Bulls,H,33,5,21,12,-1,-7,-8,Yes,No
17,Lions,A,27,3,13,14,3,14,17,No,Yes,17,Sharks,H,10,1,10,0,-3,-14,-17,Yes,No
