Round ,Winner,Loser ,End of Game Margin,End of Q3 Margin,Half Time Margin,End of 1Q Margin,Game Type
19,Adelaide,Essendon,82,82,45,17,Dominant
20,Western Bulldogs,North Melbourne,14,20,13,-4,Contested 4Q
20,West Coast,Fremantle,46,30,11,-6,Contested 2Q
20,Sydney,Port Adelaide,67,74,49,41,Dominant
20,St Kilda,Carlton,71,47,42,19,Dominant
20,Richmond,Collingwood,15,12,6,-14,Contested 4Q
20,Melbourne,Hawthorn,29,6,5,11,Contested 3Q
20,GWS,Gold Coast,8,-6,-6,6,Contested 4Q
20,Geelong,Essendon,66,54,42,17,Dominant
20,Adelaide,Brisbane,138,108,64,28,Dominant
21,Western Bulldogs,Collingwood,3,0,1,5,Contested 4Q
21,West Coast,GWS,1,-23,-5,-11,Contested 4Q
21,Sydney,St Kilda,70,41,5,-5,Contested 2Q
21,Melbourne,Port Adelaide,40,22,37,19,Dominant
21,Hawthorn,North Melbourne,39,20,23,45,Dominant
21,Geelong,Richmond,4,-35,-21,-2,Contested 4Q
21,Essendon,Gold Coast,6,-7,7,2,Contested 4Q
21,Brisbane,Carlton,4,25,40,24,Contested
21,Adelaide,Fremantle,72,61,31,15,Dominant
22,Western Bulldogs,Essendon,40,41,22,30,Dominant
22,West Coast,Hawthorn,25,42,32,20,Contested 1Q
22,Sydney,North Melbourne,9,8,12,12,Contested 4Q
22,St Kilda,Richmond,9,13,21,16,Contested
22,GWS,Fremantle,92,46,20,7,Contested 1Q
22,Geelong,Brisbane,60,42,15,36,Dominant
22,Collingwood,Gold Coast,71,77,68,43,Dominant
22,Carlton,Melbourne,20,24,18,20,Contested
22,Adelaide,Port Adelaide,15,1,11,-1,Contested 4Q
23,West Coast,Adelaide,29,37,11,1,Contested 2Q
23,Sydney,Richmond,113,123,81,31,Dominant
23,St Kilda,Brisbane,58,45,29,13,Contested 1Q
23,Port Adelaide,Gold Coast,23,15,21,5,Contested 1Q
23,Hawthorn,Collingwood,1,12,-11,-10,Contested 4Q
23,GWS,North Melbourne,37,27,11,-2,Contested 2Q
23,Geelong,Melbourne,111,70,52,38,Dominant
23,Fremantle,Western Bulldogs,20,9,11,9,Contested 3Q
23,Essendon,Carlton,24,47,19,4,Contested 1Q
