gameid,date,game,winningteam,losingteam,score,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goalsequence,totalgoals,goaldiff
21,25-Jun-94,Argentina v Nigeria,Argentina,Nigeria,2v1,8 Nigeria,21 Argentina,28 Argentina,,,,,"0v1, 1v1, 2v1",3,1
22,25-Jun-94,Saudi Arabia v Morocco,Saudi Arabia,Morocco,2v1,7 Saidi Arabia (P),26 Morocco,45 Saudi Arabia,,,,,"1v0, 1v1, 2v1",3,1
23,25-Jun-94,Belgium v Netherlands,Belgium,Netherlands,1v0,65 Albert,,,,,,,1v0,1,1
24,26-Jun-94,Switzerland v Colombia,Colombia,Switzerland,0v2,44 Colombia,90 Colombia,,,,,,"0v1, 0v2",2,2
25,26-Jun-94,USA v Romania,Romania,USA,0v1,18 Romania,,,,,,,0v1,1,1
26,26-Jun-94,Bulgaria v Greece,Bulgaria,Greece,4v0,5 Bulgaria (P),55 Bulgaria (P),65 Bulgaria,90 Bulgaria,,,,"1v0, 2v0, 3v0, 4v0",4,4
27,27-Jun-94,Bolivia v Spain,Spain,Bolivia,1v3,19 Spain (P),66 Spain,67 Bolivia,70 Spain,,,,"0v1, 0v2, 1v2, 1v3",4,2
28,27-Jun-94,Germany v South Korea,Germany,South Korea,3v2,12 Germany,20 Germany,37 Germany,52 South Korea,63 South Korea,,,"1v0, 2v0, 3v0, 3v1, 3v2",5,1
29,28-Jun-94,Russia v Cameroon,Russia,Cameroon,6v1,15 Russia,41 Russia,44 Russia (P),46 Cameroon,72 Russia,75 Russia,81 Russia,"1v0, 2v0, 3v0, 3v1, 4v1, 5v1, 6v1",7,5
30,28-Jun-94,Brazil v Sweden,Draw,Draw,1v1,23 Sweden,46 Brazil,,,,,,"0v1, 1v1",2,0
31,28-Jun-94,Italy v Mexico,Draw,Draw,1v1,48 Italy,57 Mexico,,,,,,"1v0, 1v1",2,0
32,28-Jun-94,Ireland v Norway,Draw,Draw,0v0,,,,,,,,0v0,0,0
33,29-Jun-94,Belgium v Saudi Arabia,Saudi Arabia,Belgium,0v1,5 Saudi Arabia,,,,,,,0v1,1,1
34,29-Jun-94,Morocco v Netherlands,Netherlands,Morocco,1v2,43 Netherlands,47 Morocco,77 Netherlands,,,,,"0v1, 1v1, 1v2",3,1
35,30-Jun-94,Argentina v Bulgaria,Bulgaria,Argentina,0v2,61 Bulgaria,90+3 Bulgaria,,,,,,"0v1, 0v2",2,2
36,30-Jun-94,Greece v Nigeria,Nigeria,Greece,0v2,45+2 Nigeria,90+5 Nigeria,,,,,,"0v1, 0v2",2,2
37,2-Jul-94,Germany v Belgium,Germany,Belgium,3v2,6 Germany,8 Belgium,11 Germany,40 Germany,90 Belgium,,,"1v0, 1v1, 2v1, 3v1, 3v2",5,1
38,2-Jul-94,Spain v Switzerland,Spain,Switzerland,3v0,15 Spain,74 Spain,86 Spain (P),,,,,"1v0, 2v0, 3v0",3,3
39,3-Jul-94,Saudi Arabia v Sweden,Sweden,Saudi Arabia,1v3,6 Sweden,51 Sweden,85 Saudi Arabia,88 Sweden,,,,"0v1, 0v2, 1v2, 1v3",4,2
40,3-Jul-94,Romania v Argentina,Romania,Argentina,3v2,11 Romania,16 Argentina (P),18 Romania,58 Romania,75 Argentina,,,"1v0, 1v1, 2v1, 3v1, 3v2",5,1
41,4-Jul-94,Netherlands v Ireland,Netherlands,Ireland,2v0,11 Netherlands,41 Netherlands,,,,,,"1v0, 2v0",2,2
42,4-Jul-94,Brazil v USA,Brazil,USA,1v0,72 Brazil,,,,,,,1v0,1,1
43,5-Jul-94,Nigeria v Italy,Italy,Nigeria,1v2,25 Nigeria,88 Italy,102 Italy (P),,,,,"1v0, 1v1, 1v2",3,1
44,5-Jul-94,Mexico v Bulgaria,Draw,Draw,1v1,6 Bulgaria,18 Mexico (P),,,,,,"0v1, 1v1",2,0
45,9-Jul-94,Italy v Spain,Italy,Spain,2v1,25 Italy,58 Spain,88 Italy,,,,,"1v0, 1v1, 2v1",3,1
46,9-Jul-94,Netherlands v Brazil,Brazil,Netherlands,2v3,53 Brazil,63 Brazil,64 Netherands,76 Netherlands,81 Brazil,,,"0v1, 0v2, 1v2, 2v2, 2v3",5,1
47,10-Jul-94,Bulgaria v Germany,Bulgaria,Germany,2v1,47 Germany (P),75 Bulgaria,78 Bulgaria,,,,,"0v1, 1v1, 2v1",3,1
48,10-Jul-94,Romania v Sweden,Draw,Draw,2v2,78 Sweden,88 Romania,101 Romania ,115 Sweden,,,,"0v1, 1v1, 2v1, 2v2",4,0
49,13-Jul-94,Bulgaria v Italy,Italy,Bulgaria,1v2,21 Italy,25 Italy,44 Bulgaria (P),,,,,"0v1, 0v2, 1v2",3,1
50,13-Jul-94,Sweden v Brazil,Brazil,Sweden,0v1,80 Brazil,,,,,,,0v1,1,1
51,16-Jul-94,Sweden v Bulgaria,Sweden,Bulgaria,4v0,8 Sweden,30 Sweden,37 Sweden,40 Sweden,,,,"1v0, 2v0, 3v0, 4v0",4,4
52,17-Jul-94,Brazil v Italy,Draw,Draw,0v0,,,,,,,,0v0,0,0
