Round,Winning Team,1Q Points W,2Q Points W,3Q Points W,4Q Points W,Total Score W,Winning Margin,Round,Losing Team,1Q Points L,2Q Points L,3Q Points L,4Q Points L,Total Score L,Losing Margin,Lead 1Q W,Lead 2Q W,Lead 3Q W,Lead 4Q W
22,Essendon,26,18,15,31,90,33,22,Gold Coast,19,18,12,8,57,-33,7,7,10,33
22,Carlton,28,12,24,13,77,7,22,Hawthorn,7,30,19,14,70,-7,21,3,8,7
22,Melbourne,21,21,32,30,104,13,22,Brisbane,15,24,20,32,91,-13,6,3,15,13
22,St Kilda,27,35,39,26,127,49,22,North Melbourne,32,7,14,25,78,-49,-5,23,48,49
22,Richmond,18,50,45,42,155,104,22,Fremantle,22,1,15,13,51,-104,-4,45,75,104
23,Hawthorn,33,26,19,21,99,9,23,Bulldogs,26,20,21,23,90,-9,7,13,11,9
23,Collingwood,41,19,22,17,99,16,23,Melbourne,9,23,32,19,83,-16,32,28,18,16
23,North Melbourne,14,25,51,40,130,51,23,Brisbane,30,5,22,22,79,-51,-16,4,33,51
23,Sydney,22,21,45,50,138,81,23,Carlton,6,25,21,5,57,-81,16,12,36,81
23,Port Adelaide,15,45,36,39,135,115,23,Gold Coast,13,0,0,7,20,-115,2,47,83,115
23,Geelong,33,10,40,20,103,44,23,GWS,19,17,7,16,59,-44,14,7,40,44
23,Essendon,27,26,39,15,107,15,23,Fremantle,19,14,27,32,92,-15,8,20,32,15
23,Richmond,26,45,8,43,122,41,23,St Kilda,8,19,27,27,81,-41,18,44,25,41
23,West Coast,25,27,31,17,100,29,23,Adelaide,7,28,17,19,71,-29,18,17,31,29
